machine_id,install_time,failure_time,censored,lifetime_days
1,2024-01-10,,True,365.0
2,2024-01-28,2024-07-10 03:15:25.730195,False,164.1357144698489
3,2024-01-28,2024-10-24 16:34:51.655446,False,270.6908756417391
4,2024-01-16,,True,365.0
5,2024-01-15,2024-07-28 15:22:32.548790,False,195.64065449988232
6,2024-01-30,2024-11-21 15:52:31.770942,False,296.66147883034716
7,2024-01-30,2024-06-09 14:01:05.221903,False,131.5840882164738
8,2024-01-15,2024-05-11 22:06:19.746362,False,117.92106187919362
9,2024-01-30,2024-12-15 00:25:42.161053,False,320.01784908626496
10,2024-01-19,2024-08-07 21:06:09.769992,False,201.87927974527528
11,2024-01-12,,True,365.0
12,2024-01-23,2024-12-23 21:16:10.952294,False,335.8862378737676
13,2024-01-20,2024-04-24 13:27:31.268888,False,95.5607785750913
14,2024-01-25,2024-05-28 13:00:07.624971,False,124.54175491864098
15,2024-01-03,2024-12-07 23:36:15.797211,False,339.9835161714214
